Male ID,Length
1,1.32
2,1.308
3,1.311
4,1.316
5,1.327
6,1.234
7,1.307
8,1.38
9,1.315
10,1.291
11,1.308
12,1.309
13,1.317
14,1.312
15,1.293
16,1.32
17,1.298
18,1.266
19,1.31
20,1.333
21,1.294
22,1.328
23,1.291
24,1.339
25,1.319
26,1.317
27,1.324
28,1.319
29,1.316
30,1.223
31,1.355
32,1.287
33,1.308
34,1.302
35,1.3
36,1.286
37,1.308
38,1.274
39,1.317
40,1.317
41,1.304
42,1.3
43,1.282
44,1.314
45,1.304
46,1.225
47,1.31
48,1.27
49,1.317
50,1.222
51,1.307
52,1.311
53,1.317
54,1.35
55,1.313